source,li_sto,la_sto,zr_sto,li_dop_sto,la_dop_sto,zr_dop_sto,rel_dens_%,conductivity,log_cond,good_cond,li_dopant,la_dopant,zr_dopant,li_dop_ionicrad,la_dop_ionicrad,zr_dop_ionicrad,li_dop_enev,la_dop_enev,zr_dop_enev
10.1016/j.jallcom.2019.04.274,6.7,2.9,1.6,0,0.1,0.4,94.3,5.33E-04,-3.273272791,1,,sr,sb,0,140,74,0,0.95,2.05
10.1016/j.jallcom.2019.04.274,6.66,2.94,1.6,0,0.06,0.4,95.1,8.83E-04,-3.054039296,1,,sr,sb,0,140,74,0,0.95,2.05
10.1016/j.jallcom.2019.04.274,6.62,2.98,1.6,0,0.02,0.4,92.6,3.63E-04,-3.440093375,1,,sr,sb,0,140,74,0,0.95,2.05
10.1016/j.ceramint.2018.01.065,7,3,1.6,0,0,0.4,86.9,4.40E-05,-4.356547324,0,,,ge,0,0,67,0,0,2.01
10.1080/10667857.2016.1196033,7,3,1.6,0,0,0.4,,2.56E-04,-3.591760035,0,,,ru,0,0,76,0,0,2.2
10.1039/c3cp50991e,6.6,3,1.6,0,0,0.4,91,7.70E-04,-3.113509275,1,,,sb,0,0,74,0,0,2.05
10.1016/j.ceramint.2018.09.245,6.6,3,1.6,0,0,0.4,96,6.68E-04,-3.175223538,1,,,ta,0,0,78,0,0,1.5
10.1016/j.ssnmr.2015.05.002,6.6,3,1.6,0,0,0.4,,3.70E-04,-3.431798276,1,,,ta,0,0,78,0,0,1.5
10.1111/jace.13578,6.6,3,1.6,0,0,0.4,81,1.50E-04,-3.823908741,0,,,ta,0,0,78,0,0,1.5
10.1016/j.ssi.2017.11.027,6.6,3,1.6,0,0,0.4,,7.85E-05,-4.105130343,0,,,ta,0,0,78,0,0,1.5
10.1016/j.jallcom.2019.04.274,6.6,3,1.6,0,0,0.4,89.9,1.10E-04,-3.958607315,0,,,sb,0,0,74,0,0,2.05
10.1016/j.electacta.2015.08.046,6.3,3,1.65,0,0,0.35,96,6.60E-04,-3.180456064,1,,,w,0,0,74,0,0,2.36
10.1016/j.ceramint.2018.01.065,7,3,1.7,0,0,0.3,91.6,4.78E-04,-3.320572103,1,,,ge,0,0,67,0,0,2.01
10.1111/jace.14736,6.4,3,1.7,0,0,0.3,91.3,3.53E-04,-3.452225295,1,,,mo,0,0,73,0,0,2.16
10.1063/1.4818971,6.4,3,1.7,0,0,0.3,,7.89E-04,-3.102922997,1,,,w,0,0,74,0,0,2.36
10.1016/j.ceramint.2018.09.245,6.7,3,1.7,0,0,0.3,92,1.03E-03,-2.987162775,1,,,ta,0,0,78,0,0,1.5
10.1039/c9ta00417c,6.65,2.95,1.75,0.05,0.05,0.25,99.9,7.20E-04,-3.142667504,1,ga,ba,ta,61,156,78,1.81,0.89,1.5
10.1039/c9ta00417c,6.8,2.95,1.75,0,0.05,0.25,99.7,6.50E-04,-3.187086643,1,,ba,ta,0,156,78,0,0.89,1.5
